id_estacion,estacion_ruta,tipo_servicio,tipo_servicio_agrupado,zona_largo,zona,corredor_servicio,gps_latitud,gps_longitud,Nombre_estacion
70,ALCAZARES,Estacion,Estacion,Zona 3 - Paso Del Comercio,Tres,Oriental,3485662,"-76,494,347",Alcazares
71,ALFONSO LOPEZ,Estacion,Estacion,Zona 4 - Andrés Sanín,Cuatro,Oriental,3463947,"-76,483,882",Alfonso Lopez
72,AMANECER,Estacion,Estacion,Zona 5 - Aguablanca,Cinco,Aguablanca,3421662,"-76,490,843",Amanecer
73,AMERICAS,Estacion,Estacion,Zona 2 - Menga,Dos,Avenida 3,3463618,"-7,652,527",Americas
74,ATANASIO,Estacion,Estacion,Zona 4 - Andrés Sanín,Cuatro,Carrera 15,3444827,"-76,508,336",Atanasio
75,BELALCAZAR,Estacion,Estacion,Zona 0 - Centro,Cuatro,Carrera 15,3444142,"-76,520,745",Belalcazar
76,BRISAS DE MAYO,Mio_Cable,Estacion,Mio_Cable,Mio_Cable,Aerosuspendido,3417558,"-76,563,853",Brisas de mayo
77,BUITRERA,Estacion,Estacion,Zona 1 - Sur,Uno,Calle 5,3372691,"-76,540,206",Buitrera
78,C. MODELO,Estacion,Estacion,Zona 6 - Simón Bolívar,Seis,Oriental,3416491,"-76,511,136",C. Modelo
79,CABLE CANAVERALEJO,Mio_Cable,Estacion,Mio_Cable,Mio_Cable,Aerosuspendido,3415219,"-76,549,202",Cable canaveralejo
80,CALDAS,Estacion,Estacion,Zona 7 - Cañaveralaejo,Uno,Calle 5,3394059,"-76,545,966",Caldas
81,CALIMA,Estacion,Estacion,Zona 3 - Paso Del Comercio,Tres,Oriental,3486327,"-76,496,337",Calima
82,CALIPSO,Terminal,Estacion,Zona 8 - Calipso,Cinco,Oriental,3427166,"-76,500,126",Calipso
83,CANAVERALES,Estacion,Estacion,Zona 6 - Simón Bolívar,Seis,Oriental,3401766,"-7,652,303",Canaverales
